万丹,Banten
北美地区,North America
北苏拉威西,North Sulawesi
北苏里高省,Surigao del Norte
北苏门答腊,North Sumatra
北苏门答腊省,North Sumatra Province
北萨马省,Northern Samar
北达沃省,Davao del Norte
北达科他,North Dakota
北阿古桑省,Agusan del Norte
北阿坎德,North Arkand
北领地,Northern Territory
千叶县,Chiba Prefecture
华富里府,Lopburi
华沙,Warsaw
华盛顿,Washington
华盛顿特区,"Washington, D.C"
南三宝颜省,Zamboanga del Sur
南伊罗戈省,Ilocos Sur
南加利福尼亚,Southern California
南加里曼丹,South Kalimantan
南卡罗来纳,South Carolina
南哥打巴托省,South Cotabato
南奔府,Lamphun
南定省,Nam Định
南广平,Nam Kwong Ping
南澳大利亚,South Australia
南甘马粦省,Camarines Sur
南苏拉威西,South Sulawesi
南苏里高省,Surigao del Sur
南苏门答腊,South Sumatra
南苏门答腊省,South Sumatra
南荷兰省,South Holland
南达沃省,Davao del Sur
南达科他,South Dakota
南邦府,Lampang
南阿古桑省,Agusan del Sur
南非,South Africa
博达伦府,Phatthalung
占碑省,Jambi Province
卡加烟省,Kaga province
卡坦端内斯省,Catanduanes
卡林阿省,Kalinga
卡皮斯省,Capiz，Prov.of
卡纳塔克,Karnataka
印度,India
印度尼西亚,Indonesia
印第安纳,INDIANA
古吉拉特,Gujrat
台湾省,Taiwan Province
叻丕府,Ratchaburi
吉兰丹,Kelantan
吉打州,Kedah
吉林省,Jilin Province
吉隆坡,Kuala Lumpur
吉隆坡联邦直辖区,Federal Territory of Malaysia
同奈省,ĐỒNG NAI
名古屋,Nagoya
后江省,Hậu Giang
呵叻府,Nakhon Ratchasima
和平省,HÒA BÌNH
和歌山县,Wakayama Prefecture
哈南省,Hanan province
哈里亚纳,Hariana
哥伦打洛,Gorontalo
哥打巴托省,Cotabato
哥本哈根,Copenhagen
喀拉拉,Kerala
喜马偕尔,Himachal
嘉莱省,Gia Lai
四川省,Sichuan Province
四日市,Yokkaichi
四色菊府,Si Sa Ket
圣保罗,Sao Paulo
坚江省,KIÊN GIANG
埃及,Egypt
埼玉县,Saitama Prefecture
堪萨斯,Kansas
堺,Sakai
塔斯马尼亚,Tasmania
夏威夷,Hawaii
多乐省,ĐẮK LẮK
多农省,Donon province
多哈,Doha
夜丰颂府,Mae Hong Son
夜功府,Night Palace
大分县,ŌITA PREFECTURE
大城府,PHRA NAKHON SI AYUTTHAYA
大津,Otsu
大阪府,Osaka Prefecture
大雅加达,Greater Jakarta
天津,Tianjin
太原省,THÁI NGUYÊN
太平省,THÁI BÌNH
奈良县,Nara Prefecture
奎松省,Quezon
奠边省,ĐIỆN BIÊN
奥罗拉省,Aurora
奥里萨,ODISHA
威斯康星,Wisconsin
孔敬府,Khon Kaen
孟加拉,Bangladesh
宁夏,Ningxia
宁平省,Ninh Bình
宁顺省,Ninh Thuận
安大略,Ontario
安德拉,Andrat
安徽省,Anhui Province
安江省,An Giang
安沛省,Yen Bai Province
安纳乍能府,Amnat Charoen
安蒂克省,Antique
宋卡府,Songkhla
宣光省,Tuyên Quang
宫城县,Miyagi Prefecture
宫崎县,Miyazaki Prefecture
宾夕法尼亚,Pennsylvania
宿雾省,Cebu
密歇根,Michigan
密苏里,Missouri
密西西比,Mississippi
富吉拉,Fujairah
富士,Fuji
富安省,PHÚ YÊN
富寿省,PHÚ THỌ
富山县,Toyama Prefecture
寝屋川,NEYAGAWA
尖竹汶府,Chanthaburi
尼日利亚,Nigeria
尼泊尔,Nepal
山东省,Shandong Province
山口县,Yamaguchi Prefecture
山梨县,Yamanashi Prefecture
山萝省,Son La，Tinh
山行县,Yamashiro Prefecture
山西省,Shanxi Province
岐阜县,Gifu Prefecture
岘港市,Danang
岛根县,Shimane Prefecture
岩手县,Iwate Prefecture
川崎,Kawasaki
川越,Kawaguchi
巴丹省,Bataan
巴厘省,Bali，PROPINSI
巴吞他尼府,Pathum Thani
巴地斗顿,Badi-doo-dun
巴基斯坦,Pakistan
巴布亚,Papua
巴布亚新几内亚,Papua New Guinea
巴拉望省,Palawan
巴真府,Prachin Buri
巴蜀府,Prachuap Khiri Khan
巴西兰省,Basilan
巴黎,Paris
布什尔,Bushehr
布加勒斯特,Bucharest
布城,Putrajaya
布基农省,Bukidnon
布基纳法索,Burkina Faso
布拉干省,Bulacan
布拉格,Prague
帕尧府,Pau House
帕府,Phrae
帕西格,Pasig
平定省,Pingding province
平福省,BÌNH PHƯỚC
平阳省,BÌNH DƯƠNG
平顺省,Bình Thuận
广东省,Guangdong Province
广义省,QUẢNG NGÃI
广南省,QUẢNG NAM
广宁省,Quảng Ninh
广岛县,Hiroshima Prefecture
广治省,QUẢNG TRỊ
广西,Guangxi
庆和省,Kyungho province
库尔德斯坦,Kurdistan
康波斯特拉谷省,Compostela Valley
康涅狄格,Connecticut
廊开府,Nong Khai
廖内省,Riau Province
廖内群岛,Riau Archipelago
开普敦,Cape Town
弗吉尼亚,Virginia
彭世洛府,Phitsanulok
彭亨州,Pahang
德克萨斯,Texas
德岛县,Tokushima Prefecture
德里国家首都辖区,National Capital Region
德黑兰,Tehran
怀俄明,Wyoming
恰蒂斯加尔,Chhattisgarh
惹拉府,Yala
披集府,Phichit
拉允隆省,Layunon province
拉农府,La Nuit
拉美地区,Latin America
拉贾斯坦,Rajasthan
摩洛哥,Morocco
攀牙府,Phang Nga
斐济,Fiji
斯德哥尔摩,Stockholm
新不伦瑞克,New Brunswick
新加坡,Singapore
新南威尔士,New South Wales
新南威尔士州,New South Wales
新墨西哥,New Mexico
新怡诗夏省,Nueva Ecija
新斯科舍,Nova Scotia
新泻县,Niigata Prefecture
新泽西,New Jersey
新疆,Xinjiang
新罕布什尔,New Hampshire
新西兰,New Zealand
旁遮普,Punjab
日惹特区,Special Region of Yogyakarta
日本,Japan
旭川,ASAHIGAWA
昆士兰,Queensland
昆士兰州,Queensland
昆嵩省,Kon Tum
昌迪加尔,Chandigarh
明古鲁,Mingulu
明尼苏达,Minnesota
春武里府,Chon Buri
春蓬府,Chunpeng Mansion
普吉府,Phuket
暖武里府,Nonthaburi
曼尼托巴,Manitoba
曼尼普尔,Manipur
曼谷,Bangkok
朔庄省,SÓC TRĂNG
朗布隆省,Romblon
本地治里,Puducherry
本格特省,Benguet
松山,Pine Hill
松本,Matsumoto
松江,Songjiang District
林同省,LÂM ĐỒNG
果阿,Goa
柔佛州,Johor
查谟和克什米尔,Jammu and Kashmīr
柬埔寨,Cambodia
栃木县,Tochigi Prefecture
梅加拉亚,Meghalaya subtropical forests
森美兰,Negeri Sembilan
楠榜省,Lampung Province
槟州,Penang
槟知省,You know what
横滨,Yokohama
武里南府,Buri Ram
比哈尔,Bihar
民都洛省,Mindoro province
永富省,Vinh Phu，Tinh
永隆省,Vĩnh Long
江苏省,Jiangsu Province
江西省,Jiangxi Province
汶干府,Bueng Kan
沙巴州,Sabah
沙敦府,Satun
沙缴府,Sa Kaeo
河内,Hanoi
河内市,Hanoi
河北省,Hebei Province
河南省,Henan Province
河江省,Hà Giang
河静省,HÀ TĨNH
法兰克福,Frankfurt
法尔斯,Fars Province
泰国,Thailand
泰米尔纳德,Tamil Nadu
洛坤府,Nakhon Si Thammarat
津,Tianjin
浙江省,Zhejiang Province
海南省,Hainan Province
海防市,Haiphong
海阳省,HẢI DƯƠNG
清化省,Thanh Hóa
清莱府,Chiang Rai
清迈府,Chiang Mai
湖北省,Hubei Province
湖南省,Hunan Province
滋贺县,Shiga Prefecture
滨松,Hamamatsu
澳大利亚,Australia
澳大利亚首都领地,The Australian Capital Territory
澳门,Macau
熊本县,Kumamoto Prefecture
爱媛县,Ehime Prefecture
爱德华王子岛,Prince Edward Island
爱知县,Aichi Prefecture
爱达荷,Idaho
特伦甘地,Terence Gandhi
特拉华,Delaware
特里普拉,Tripura
犹他,UTAH
猜也奔府,Chaiyaphum
猜那府,Guess WHO's in D.C. 
玛哈沙拉堪府,Maha Sarakham
玻璃市,Glass City
甘烹碧府,Kamphaeng Phet
甘肃省,Gansu Province
田纳西,Tennessee
甲府,Kaofu
甲洞,Nail Hole
甲米地省,Cavite
甲米府,Kami Prefecture
登嘉楼,Terengganu
益梭通府,Yasothon
石卷,Ishinomaki
石川县,Ishikawa Prefecture
砂拉越州,Sarawak
碧差汶府,Phetchabun
神奈川县,Kanagawa Prefecture
福井县,Fukui Prefecture
福冈县,Fukuoka Prefecture
福山,Fukuyama
福岛县,Fukushima Prefecture
福建省,Fujian Province
秋田县,Akita Prefecture
科特迪瓦,Cote d'ivoire
科罗拉多,Colorado
程逸府,Ching Yat House
筑波,Tsukuba
米佐拉姆,Mizoram
米兰,Milan
素可泰府,Sukhothai
素叻府,Surat Thani
素攀武里府,Suphanburi
素辇府,The Cholan Palace
索索贡省,Sorsogon
红统府,Hongtong Mansion
约翰内斯堡,Johannesburg
纳闽,Labuan
纽约,New York
纽芬兰与拉布拉多,Newfoundland and Labrador
维多利亚,Victoria
维多利亚州,Victoria
缅因,Maine
缅甸,Myanmar
罗勇府,Rayong
罗得岛,Rhode Island
群马县,Gunma Prefecture
老挝,Laos
老街省,Lào Cai
肯塔基,Kentucky
育空,The Yukon
胡志明,Ho Chi Minh
胡志明市,Ho Chi Minh City
色军府,The Red Army
艾伯塔,Alberta
艾奥瓦,Iowa
芹苴市,CẦN THƠ
苏丹库达拉省,Sultan Kudarat
苏禄省,Sulu
茨城县,Ibaraki Prefecture
茶荣省,Trà Vinh
莫斯科,Moscow
莫桑比克,Mozambique
莫达汉府,Mukdahan
莱洲省,Lai Chau province
莱特省,Leyte，Prov.of
菲律宾,Philippines
萨兰加尼省,Sarangani
萨斯喀彻温,Saskatchewan
萨马省,Samar
董里府,Trang
蒙古,Mongolia
蒙大拿,Montana
薄寮省,BẠC LIÊU
西内格罗省,Negros Occidental
西加里曼丹,West Kalimantan
西努沙登加拉,West Nusa Tenggara
西北地区,Northwest Territories
西孟加拉,West Bengal
西宁省,Tây Ninh
西巴布亚,West Papua
西弗吉尼亚,West Virginia
西澳大利亚,Western Australia
西澳大利亚州,Western Australia
西爪哇,West Java
西米萨米斯省,Misamis Occidental
西苏门答腊,West Sumatra
西藏,Tibet
谅山省,LẠNG SƠN
贵州省,Guizhou Province
贾坎德,Jakande
越南,Vietnam
路易斯安那,Louisiana
辽宁省,Liaoning Province
达叻府,Trat
达府,TAK
达德拉纳加尔哈维利,"Dadra, Nagar, Havili"
达曼和第乌,Dammam and Dieu
达沃省,Davao province
迪拜,Dubai
那加兰,"So, Garein"
那空帕农府,Nakhon Phanom
那空那育府,Nakhon Nayok
那霸,Naha
邦加勿里洞,Bonga Beli Cave
邦板牙省,Pampanga
邦阿西楠省,Pangasinan
重庆,Chongqing
金瓯省,Cà Mau
金边,Phnom Penh
锡基霍尔省,Siquijor，Prov.of
锡金,Sikkim
长冈,Nagaoka
长崎县,Nagasaki Prefecture
长野县,Nagano Prefecture
长门,Long Gate
阿克兰省,Aklan
阿姆斯特丹,Amsterdam
阿尔拜省,Albay
阿拉斯加,Alaska
阿肯色,Arkansas
阿萨姆,Assum
阿鲁纳恰尔,Arunachal
陕西省,Shaanxi Province
陶公府,Narathiwat
隆安省,Long An
难府,Nakatomi
雅加达首都特区,"Jakarta, capital district"
雪兰莪,Selangor
霹雳州,State of Perak
青森县,Aomori Prefecture
青海省,Qinghai Province
静冈县,Shizuoka Prefecture
非洲地区,Africa
顺化省,Hue Province
首尔,Seoul
香川县,Kagawa Prefecture
香港,Hong Kong
马京达瑙省,Maguindanao
马六甲,Malacca
马哈拉施特拉,Maharashtra
马尼拉,Manila
马尼拉都会区,Metro Manila
马德里,Madrid
马斯巴特省,Masbate
马来西亚,Malaysia
马林杜克省,Marinduque
马萨诸塞,Massachusetts
马达加斯加,Madagascar
马里,Mali
马里兰,Maryland
马鲁古,Maluku
高平省,Cao Bằng
高知县,Kōchi Prefecture
魁北克,Quebec
鸟取县,Tottori Prefecture
鹤冈,TSURUOKA
鹿儿岛县,Kagoshima Prefecture
鹿屋,Deer House
麦加地区,Mecca
黎刹省,Rizal，Prov.of
黎府,Loei
黎逸府,Lai Yat House
黑龙江省,Heilongjiang
龙仔厝府,Samut Sakhon
